Sample in Buffer,Sample in Window,TRIGGER,w_fir_q[15:0],w_fir_i[15:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX
886,886,0,ff26,01ed
887,887,0,ff64,0205
888,888,0,ffa5,0214
889,889,0,ffe6,0218
890,890,0,0026,0214
891,891,0,0064,0206
892,892,0,009f,01f0
893,893,0,00d6,01d2
894,894,0,0108,01ae
895,895,0,0136,0184
896,896,0,015e,0155
897,897,0,0180,0122
898,898,0,019e,00ec
899,899,0,01b6,00b3
900,900,0,01ca,0078
901,901,0,01d8,003c
902,902,0,01e1,fffe
903,903,0,01e3,ffc0
904,904,0,01df,ff81
905,905,0,01d4,ff43
906,906,0,01bf,ff07
907,907,0,01a2,fece
908,908,0,017c,fe98
909,909,0,014d,fe68
910,910,0,0116,fe3f
911,911,0,00d8,fe1d
912,912,0,0095,fe04
913,913,0,0050,fdf5
914,914,0,0009,fdee
915,915,0,ffc4,fdf1
916,916,0,ff82,fdfc
917,917,0,ff44,fe0f
918,918,0,ff0b,fe2a
919,919,0,fed7,fe4b
920,920,0,feaa,fe73
921,921,0,fe83,fea0
922,922,0,fe62,fed2
923,923,0,fe47,ff08
924,924,0,fe30,ff43
925,925,0,fe1f,ff80
926,926,0,fe14,ffbf
927,927,0,fe0e,ffff
928,928,0,fe0e,0040
929,929,0,fe15,007f
930,930,0,fe22,00bc
931,931,0,fe36,00f5
932,932,0,fe51,012a
933,933,0,fe74,015a
934,934,0,fe9d,0185
935,935,0,fecb,01a9
936,936,0,feff,01c7
937,937,0,ff37,01dd
938,938,0,ff73,01ed
939,939,0,ffb0,01f4
940,940,0,ffef,01f4
941,941,0,002e,01ec
942,942,0,006c,01dd
943,943,0,00a9,01c5
944,944,0,00e3,01a7
945,945,0,011a,0180
946,946,0,014c,0154
947,947,0,0179,0122
948,948,0,01a0,00eb
949,949,0,01c0,00b0
950,950,0,01d8,0073
951,951,0,01e9,0034
952,952,0,01f1,fff5
953,953,0,01f2,ffb6
954,954,0,01eb,ff79
955,955,0,01dc,ff3f
956,956,0,01c6,ff07
957,957,0,01a9,fed4
958,958,0,0185,fea6
959,959,0,015b,fe7d
960,960,0,012b,fe59
961,961,0,00f5,fe3d
962,962,0,00ba,fe29
963,963,0,007c,fe1c
964,964,0,003b,fe17
965,965,0,fff9,fe1a
966,966,0,ffb6,fe25
967,967,0,ff75,fe38
968,968,0,ff37,fe50
969,969,0,fefc,fe6f
970,970,0,fec7,fe93
971,971,0,fe98,feba
972,972,0,fe70,fee6
973,973,0,fe4e,ff15
974,974,0,fe34,ff47
975,975,0,fe22,ff7c
976,976,0,fe17,ffb4
977,977,0,fe13,ffef
