Sample in Buffer,Sample in Window,TRIGGER,w_adc[15:0],w_fft_data_q[26:0],w_mag[26:0],w_fft_data_i[26:0],w_fft_tlast_out
Radix - UNSIGNED,UNSIGNED,UNSIGNED,SIGNED,HEX,SIGNED,SIGNED,HEX
623,623,0,951,0000280,1283,1165,0
624,624,0,588,0000282,1301,1189,0
625,625,0,-588,000028a,1307,1181,0
626,626,0,-951,0000299,1310,1188,0
627,627,0,0,00002a5,1318,1201,0
628,628,0,951,00002aa,1327,1206,0
629,629,0,588,00002b9,1329,1210,0
630,630,0,-588,00002c0,1334,1219,0
631,631,0,-951,00002ca,1355,1214,0
632,632,0,0,00002da,1349,1235,0
633,633,0,951,00002e3,1362,1239,0
634,634,0,588,00002f1,1367,1248,0
635,635,0,-588,0000304,1382,1247,0
636,636,0,-951,0000303,1383,1257,0
637,637,0,0,0000317,1394,1269,0
638,638,0,951,0000325,1402,1266,0
639,639,0,588,0000338,1407,1288,0
640,640,0,-588,0000338,1411,1294,0
641,641,0,-951,000034b,1422,1300,0
642,642,0,0,000035e,1427,1315,0
643,643,0,951,000036b,1437,1322,0
644,644,0,588,0000376,1443,1327,0
645,645,0,-588,0000386,1456,1334,0
646,646,0,-951,0000391,1453,1339,0
647,647,0,0,00003a7,1476,1362,0
648,648,0,951,00003b6,1490,1366,0
649,649,0,588,00003cd,1498,1380,0
650,650,0,-588,00003e0,1511,1393,0
651,651,0,-951,00003ed,1521,1403,0
652,652,0,0,0000404,1527,1422,0
653,653,0,951,0000418,1526,1431,0
654,654,0,588,000042d,1548,1437,0
655,655,0,-588,0000443,1573,1463,0
656,656,0,-951,000044a,1570,1461,0
